frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
104,4,1.8292388916015625,-0.9595319032669067,-0.12532782554626465,0.1471865475177765,-1.4862565839221298,1.0415724882584687,-0.2286548512472358,201,415,,,,,-1,-1,-1,-1,,,,,,,,,
104,5,1.8995941877365112,-0.8622773289680481,-0.15689286589622498,0.1471865475177765,-1.4246956693207824,1.2209026220634265,-0.2968115822194176,168,425,,,,,-1,-1,-1,-1,,,,,,,,,
104,6,1.6885281801223755,-0.9595319032669067,-0.12532782554626465,0.294373095035553,-1.3719291320379168,0.9614515119590432,-0.21106601309718062,179,425,,,,,-1,-1,-1,-1,,,,,,,,,
104,7,1.7588834762573242,-0.9595319032669067,-0.12532782554626465,0.294373095035553,-1.4290928095512498,1.0015119661697454,-0.21986042472162795,214,418,,,,,-1,-1,-1,-1,,,,,,,,,
104,8,1.8292388916015625,-0.9066219925880432,-0.12532782554626465,0.294373095035553,-1.4290929141557076,1.1187159265241398,-0.2286548512472358,202,420,,,,,-1,-1,-1,-1,,,,,,,,,
104,9,1.8995941877365112,-0.8622773289680481,-0.15689286589622498,0.294373095035553,-1.4246956693207824,1.2209026220634265,-0.2968115822194176,165,429,,,,,-1,-1,-1,-1,,,,,,,,,
105,0,1.7588834762573242,-1.0663197040557861,-0.0312550887465477,0.0,-1.5390230576919675,0.8497399294659093,-0.05496510906736579,185,395,,,,,-1,-1,-1,-1,,,,,,,,,
105,1,1.8292388916015625,-1.0689876079559326,-0.06254076212644577,0.0,-1.6005839814662086,0.8781657470361464,-0.11432743132748303,191,396,,,,,-1,-1,-1,-1,,,,,,,,,
105,2,1.6885281801223755,-1.0073188543319702,-0.06254076212644577,0.1471865475177765,-1.4246956747854456,0.9001291200336511,-0.10553301181369651,162,414,,,,,-1,-1,-1,-1,,,,,,,,,
105,3,1.7588834762573242,-1.0073188543319702,-0.06254076212644577,0.1471865475177765,-1.4840579568496077,0.9376344762042947,-0.10993021784529945,232,410,,,,,-1,-1,-1,-1,,,,,,,,,
